É”,deep,void ratio,water content,X,Y,UU,CU,CUBar,CD
2.1,42.4,79,2.128,77.65274811,-9.2609272,1,0,0,0
2.4,46.4,75.3,2.055,77.65274811,-9.2609272,1,0,0,0
3.8,80.4,60.9,1.659,77.65274811,-9.2609272,1,0,0,0
2.7,84.4,38.3,1.051,77.65274811,-9.2609272,1,0,0,0
0,19.4,37.6,1.061,77.65274811,-9.2609272,1,0,0,0
0,14.375,71.2,1.909,77.65274811,-9.2609272,1,0,0,0
0,31.675,37.2,1.01,77.65274811,-9.2609272,1,0,0,0
36.7,9.3,23.8,0.654,-122.4698563,-114.9771347,0,0,0,1
0,13.375,46.9,1.275,77.65274811,-9.2609272,1,0,0,0
0,15.35,49.3,1.304,77.65274811,-9.2609272,1,0,0,0
0,17.4,59.9,1.618,77.65274811,-9.2609272,1,0,0,0
0,19.425,62.7,1.702,77.65274811,-9.2609272,1,0,0,0
0,21.35,64.1,1.723,77.65274811,-9.2609272,1,0,0,0
0,23.4,58.2,1.585,77.65274811,-9.2609272,1,0,0,0
0,25.425,39.7,1.096,77.65274811,-9.2609272,1,0,0,0
34.7,28.375,35.3,0.958,-122.4698563,-114.9771347,0,0,0,1
0,30.425,45.4,1.218,77.65274811,-9.2609272,1,0,0,0
0,32.35,44.1,1.177,77.65274811,-9.2609272,1,0,0,0
0,18.4,48,1.27,77.65274811,-9.2609272,1,0,0,0
3.2,8.425,64.5,1.727,77.65274811,-9.2609272,1,0,0,0
2.7,11.4,72.8,1.949,77.65274811,-9.2609272,1,0,0,0
3.51,23.65,52.6,1.416,77.65274811,-9.2609272,1,0,0,0
10.4,44.4,72.6,1.914,77.65274811,-9.2609272,0,0,1,0
2.26,46.4,51.4,1.389,77.65274811,-9.2609272,1,0,0,0
14.6,49.4,23.3,0.626,77.65274811,-9.2609272,0,0,1,0
5.29,59,42.2,1.101,77.65274811,-9.2609272,1,0,0,0
0,69.2,40.1,1.061,77.65274811,-9.2609272,1,0,0,0
0,76.975,52.4,1.404,77.65274811,-9.2609272,1,0,0,0
0,79.6,43.4,1.154,77.65274811,-9.2609272,1,0,0,0
0,20.6,59.3,1.516,77.65274811,-9.2609272,1,0,0,0
0,34.325,34.9,0.933,77.65274811,-9.2609272,1,0,0,0
0,16.45,55.1,1.538,77.65274811,-9.2609272,1,0,0,0
0,20.45,62.8,1.725,77.65274811,-9.2609272,1,0,0,0
0,25.45,56.9,1.558,77.65274811,-9.2609272,1,0,0,0
0,31.7,49.9,1.337,77.65274811,-9.2609272,1,0,0,0
3.1,8.425,63.4,1.695,77.65274811,-9.2609272,1,0,0,0
3,11.425,69.2,1.849,77.65274811,-9.2609272,1,0,0,0
0,10.4,52.1,1.383,77.65274811,-9.2609272,1,0,0,0
0,16.875,62.7,1.669,77.65274811,-9.2609272,1,0,0,0
0,20.875,57.4,1.523,77.65274811,-9.2609272,1,0,0,0
24.3,4.35,32.8,0.919,-122.4698563,-114.9771347,0,0,0,1
31.8,7.4,41.5,1.167,-122.4698563,-114.9771347,0,0,0,1
25.4,10.4,41.1,1.167,-122.4698563,-114.9771347,0,0,0,1
1.5,40.4,68.7,1.841,77.65274811,-9.2609272,1,0,0,0
0,13.425,45,1.183,77.65274811,-9.2609272,1,0,0,0
0,20.55,61.3,1.548,77.65274811,-9.2609272,1,0,0,0
0,26.55,29.7,0.779,77.65274811,-9.2609272,1,0,0,0
0,33.85,25.9,0.854,77.65274811,-9.2609272,1,0,0,0
0,43.45,65,1.684,77.65274811,-9.2609272,1,0,0,0
0,11.4,55.5,1.476,77.65274811,-9.2609272,1,0,0,0
0,17.35,60.8,1.622,77.65274811,-9.2609272,1,0,0,0
0,21.375,59.7,1.58,77.65274811,-9.2609272,1,0,0,0
2.8,11.425,70.8,1.894,77.65274811,-9.2609272,1,0,0,0
0,18.4,53,1.431,77.65274811,-9.2609272,1,0,0,0
0,10.4,58.8,1.564,77.65274811,-9.2609272,1,0,0,0
0,16.35,63.7,1.703,77.65274811,-9.2609272,1,0,0,0
0,20.35,56.4,1.512,77.65274811,-9.2609272,1,0,0,0
0,12.425,52.5,1.418,77.65274811,-9.2609272,1,0,0,0
0,16.425,66,1.786,77.65274811,-9.2609272,1,0,0,0
0,20.425,58,1.546,77.65274811,-9.2609272,1,0,0,0
0,28.375,40.9,1.092,77.65274811,-9.2609272,1,0,0,0
0,39.425,67.2,1.827,77.65274811,-9.2609272,1,0,0,0
0,12.4,51.3,1.375,77.65274811,-9.2609272,1,0,0,0
0,18.4,65.1,1.754,77.65274811,-9.2609272,1,0,0,0
0,28.35,32,0.866,77.65274811,-9.2609272,1,0,0,0
36.6,3.15,14.3,0.648,-122.4698563,-114.9771347,0,0,0,1
33.4,4.65,22.2,0.74,-122.4698563,-114.9771347,0,0,0,1
35.5,8,28,0.837,-122.4698563,-114.9771347,0,0,0,1
34.9,12.575,31.6,0.943,-122.4698563,-114.9771347,0,0,0,1
0,16.375,54,1.426,77.65274811,-9.2609272,1,0,0,0
0,20.45,63.4,1.706,77.65274811,-9.2609272,1,0,0,0
0,24.45,43.1,1.198,77.65274811,-9.2609272,1,0,0,0
0,30.7,41.3,1.127,77.65274811,-9.2609272,1,0,0,0
31.5,10.45,55.8,1.587,30.23841476,-162.0327454,0,0,0,1
0,27.4,32,0.883,77.65274811,-9.2609272,1,0,0,0
0,38.375,71.5,1.933,77.65274811,-9.2609272,1,0,0,0
0,41.365,28.7,0.786,77.65274811,-9.2609272,1,0,0,0
31.4,9.44,58.3,1.617,77.65274811,-9.2609272,0,0,0,1
0,26.685,36.1,0.993,77.65274811,-9.2609272,1,0,0,0
0,41,32,0.895,77.65274811,-9.2609272,1,0,0,0
0,26.445,38.2,1.055,77.65274811,-9.2609272,1,0,0,0
0,38.44,68.7,1.873,77.65274811,-9.2609272,1,0,0,0
0,42.375,31.6,0.893,77.65274811,-9.2609272,1,0,0,0
4.49,9.45,53.6,1.421,77.65274811,-9.2609272,1,0,0,0
2.09,12.45,70,1.861,77.65274811,-9.2609272,1,0,0,0
3.37,15.45,63.9,1.702,77.65274811,-9.2609272,1,0,0,0
5.9,18.45,47,1.272,77.65274811,-9.2609272,1,0,0,0
1.92,20.945,20.6,0.562,77.65274811,-9.2609272,1,0,0,0
0,10.4,54.8,1.462,77.65274811,-9.2609272,1,0,0,0
